id,display_order_id,total_amount,created_at,customer_id
13392,YTFA,425,2024-10-14 15:12:43,1251.0
13393,N1U7,1650,2024-10-14 15:17:25,1251.0
13394,PADV,1365,2024-10-14 17:02:16,468.0
13395,OKVW,525,2024-10-14 17:03:36,1251.0
13396,2G3Q,525,2024-10-14 17:04:49,468.0
13397,RISQ,1365,2024-10-14 17:09:54,1251.0
13398,PRLC,1935,2024-10-14 17:10:05,555.0
13399,NIII,525,2024-10-14 17:15:48,1251.0
13400,7LOI,1650,2024-10-14 17:17:04,1251.0
13401,LEME,425,2024-10-14 17:19:53,1251.0
13402,B4ND,525,2024-10-14 17:23:49,1251.0
13403,7GRD,825,2024-10-14 17:24:41,513.0
13404,GZ4L,1688,2024-10-14 17:25:39,468.0
13405,VICT,425,2024-10-14 17:32:13,1251.0
13406,HNBV,425,2024-10-14 17:48:29,1251.0
13407,DGGD,1365,2024-10-14 17:50:29,513.0
13408,HOT5,525,2024-10-14 17:50:57,1251.0
13409,GVU2,825,2024-10-14 17:54:53,513.0
13410,L4VH,525,2024-10-14 18:02:53,513.0
13411,IKYF,525,2024-10-14 18:05:52,513.0
13412,BPBP,825,2024-10-14 18:12:41,513.0
13413,XKWB,1175,2024-10-14 18:15:04,468.0
13414,EL98,525,2024-10-14 18:15:50,468.0
13415,EE5Y,525,2024-10-14 18:30:55,1251.0
13416,STGE,2125,2024-10-14 18:40:28,1251.0
13417,LMDT,425,2024-10-14 18:52:40,1251.0
13418,V5JV,1175,2024-10-14 18:54:02,513.0
13419,WD4G,1025,2024-10-14 18:55:50,513.0
13420,0FQH,525,2024-10-14 18:57:22,513.0
13421,SSQE,1802,2024-10-15 05:48:27,1088.0
13422,M6JI,600,2024-10-15 05:51:15,1095.0
13423,SJJF,425,2024-10-15 06:12:44,91.0
13424,YJJR,925,2024-10-15 06:27:21,91.0
13425,VC06,1460,2024-10-15 06:28:47,468.0
13426,PFWD,1525,2024-10-15 06:33:25,91.0
13427,WIFR,1650,2024-10-15 06:35:22,468.0
13428,D5GA,1175,2024-10-15 06:41:26,468.0
13429,MPAZ,525,2024-10-15 06:42:13,468.0
13430,PSGY,1525,2024-10-15 07:21:28,1071.0
13431,RUGQ,1650,2024-10-15 08:02:14,1251.0
13432,HRVD,1688,2024-10-15 08:19:38,1088.0
13433,WY3Y,525,2024-10-15 08:21:50,1251.0
13434,GTLI,525,2024-10-15 08:21:50,1251.0
13435,YCXM,825,2024-10-15 08:36:29,513.0
13436,86NK,2125,2024-10-15 08:54:14,1251.0
13437,MQM4,425,2024-10-15 08:55:09,1251.0
13441,NSSB,3930,2024-10-15 11:05:54,203.0
13444,CLMU,3930,2024-10-15 11:16:35,203.0
13445,YE3J,1175,2024-10-15 11:27:32,1252.0
13446,MMDI,3930,2024-10-15 11:35:07,91.0
13447,XGCZ,3930,2024-10-15 11:44:14,91.0
13448,FWYX,2410,2024-10-15 11:48:13,91.0
13449,Z3ZU,1175,2024-10-15 11:50:10,1253.0
13450,SYXP,2410,2024-10-15 11:55:16,91.0
13456,SACK,225,2024-10-16 06:59:49,1088.0
13461,RI9A,3930,2024-10-16 10:06:10,91.0
13462,YDM1,2410,2024-10-16 10:06:12,91.0
13463,RIT0,3930,2024-10-16 10:09:13,203.0
13464,B5EX,3645,2024-10-16 10:11:05,232.0
13467,0HXH,3930,2024-10-16 10:16:53,91.0
13468,WZZO,2410,2024-10-16 10:21:33,91.0
13472,WWHX,3930,2024-10-16 11:15:25,203.0
13473,LHZH,3930,2024-10-16 11:16:23,203.0
13474,EDQ8,3930,2024-10-16 11:23:55,203.0
13475,F3JF,3930,2024-10-16 11:24:01,203.0
13476,KPG2,3930,2024-10-16 11:24:14,203.0
13477,WZQF,3930,2024-10-16 11:24:27,203.0
13478,LQGL,3930,2024-10-16 11:24:37,203.0
13479,KTS5,3930,2024-10-16 11:24:50,203.0
13480,JDGE,3930,2024-10-16 11:25:01,203.0
13481,HUEH,3930,2024-10-16 11:25:12,203.0
13482,M9YE,3930,2024-10-16 11:25:26,203.0
13483,RDD5,3930,2024-10-16 11:25:27,203.0
13484,ZOQ0,3930,2024-10-16 11:25:34,203.0
13485,TMNN,3930,2024-10-16 11:27:29,203.0
13486,PTBD,3930,2024-10-16 11:27:35,203.0
13487,U4KQ,3930,2024-10-16 11:27:41,203.0
13488,MLTW,3930,2024-10-16 11:27:47,203.0
13489,HMWN,3930,2024-10-16 11:27:52,203.0
13490,KT66,3930,2024-10-16 11:33:51,203.0
13491,DNCM,3930,2024-10-16 11:33:57,203.0
13492,W21C,3930,2024-10-16 11:34:05,203.0
13493,2NZL,3930,2024-10-16 11:34:10,203.0
13494,40J0,3930,2024-10-16 11:34:16,203.0
13495,W3RE,3930,2024-10-16 11:48:22,1264.0
13496,GFRK,3930,2024-10-16 11:48:26,1264.0
13497,3TL3,3930,2024-10-16 11:48:31,1264.0
13498,AI0J,3930,2024-10-16 11:48:36,1264.0
13499,OJ85,3930,2024-10-16 11:48:43,1264.0
13500,IG1P,3930,2024-10-16 12:02:14,1264.0
13501,6MWM,3930,2024-10-16 12:02:16,1264.0
13502,PQSY,3930,2024-10-16 12:02:18,1264.0
13503,JYLR,3930,2024-10-16 12:02:24,1264.0
13504,0BGE,3930,2024-10-16 12:02:29,1264.0
13505,WSY4,3930,2024-10-16 12:03:20,1264.0
13506,RJLR,3930,2024-10-16 12:03:21,1264.0
13507,1ES1,3930,2024-10-16 12:03:21,1264.0
13508,2HEU,3930,2024-10-16 12:05:39,1264.0
13509,JAZ1,3930,2024-10-16 12:05:53,1264.0
13510,75TK,3930,2024-10-16 12:10:38,1264.0
13511,5N5P,3930,2024-10-16 12:10:48,1264.0
13512,RTQ1,3930,2024-10-16 12:11:37,1264.0
13513,PVDB,3930,2024-10-16 12:14:08,1264.0
13514,ATSW,3930,2024-10-16 12:14:19,1264.0
13515,ISAV,3930,2024-10-16 12:19:32,1265.0
13516,23XL,3930,2024-10-16 12:19:45,1266.0
13517,YBJB,3930,2024-10-16 12:32:04,1267.0
13518,5OQG,3930,2024-10-16 12:32:16,1268.0
13519,6EXK,3930,2024-10-16 12:41:47,1269.0
13520,XCOO,3930,2024-10-16 12:42:00,1270.0
13521,9SWI,1175,2024-10-17 09:06:00,1271.0
13522,MHZJ,1175,2024-10-23 06:28:41,1271.0
12851,542Q,3930,2024-08-27 11:33:49,203.0
12852,RPUW,2448,2024-08-27 11:34:08,138.0
12855,A2MC,2448,2024-08-27 11:34:31,138.0
12857,ABWV,2448,2024-08-27 11:34:55,138.0
12858,MGES,3930,2024-08-27 11:34:59,203.0
12860,PLTD,3930,2024-08-27 11:35:07,203.0
12862,A84P,3930,2024-08-27 11:35:28,203.0
12865,EUPC,2448,2024-08-27 11:35:54,138.0
12867,6F6J,2448,2024-08-27 11:36:12,138.0
12869,ZT70,2448,2024-08-27 11:36:36,138.0
12873,HOHB,3930,2024-08-27 11:37:00,203.0
12874,HCEZ,3930,2024-08-27 11:37:01,203.0
12875,4ARW,3930,2024-08-27 11:37:02,203.0
12877,GTUY,2448,2024-08-27 11:37:36,138.0
12879,4W7E,2448,2024-08-27 11:37:47,138.0
12882,AHRW,2448,2024-08-27 11:38:19,138.0
12885,UK3U,3930,2024-08-27 11:38:36,203.0
12886,ON3X,3930,2024-08-27 11:38:40,203.0
12887,5EPB,3930,2024-08-27 11:38:48,203.0
12890,OSEC,2448,2024-08-27 11:39:15,138.0
12891,XDQH,2448,2024-08-27 11:39:28,138.0
12893,CPEA,2448,2024-08-27 11:40:14,138.0
12896,9PW9,3930,2024-08-27 11:40:21,203.0
12899,VLQQ,3930,2024-08-27 11:40:28,203.0
12900,YFQY,3930,2024-08-27 11:40:29,203.0
